activo;fecha;lugar;cantidad;precio al momento de adquisicion;valor;protocolo;identificador
BAL;2024-01-03T19:12:45+00:00;gnosis;0.010597366153306777;3.695;0.039157267936468544;aura-finance;1000x207c3924c8629f2e4ecaa978e62c35491355cdf63ddfe4e6763b1c12a2625122
AURA;2024-01-03T19:12:45+00:00;gnosis;0.0121737493118674;0.725953223828;0.008837572559024036;aura-finance;1000x207c3924c8629f2e4ecaa978e62c35491355cdf63ddfe4e6763b1c12a2625122
AURA;2024-01-03T19:12:45+00:00;gnosis;0.016727024670891478;0.725953223828;0.012143037484884158;aura-finance;1000x207c3924c8629f2e4ecaa978e62c35491355cdf63ddfe4e6763b1c12a2625122
BAL;2024-01-03T19:14:50+00:00;gnosis;0.10181901305332378;3.695;0.3762212532320313;aura-finance;1000xb734650700a859e217637c2c47904948043f821d7b48144273b0184fba1d6258
AURA;2024-01-03T19:14:50+00:00;gnosis;0.11694930590316163;0.725953223828;0.08489972564484714;aura-finance;1000xb734650700a859e217637c2c47904948043f821d7b48144273b0184fba1d6258
AURA;2024-01-03T19:14:50+00:00;gnosis;0.1759470618782692;0.725953223828;0.12772933679359413;aura-finance;1000xb734650700a859e217637c2c47904948043f821d7b48144273b0184fba1d6258
VELO;2024-01-04T13:38:07+00:00;optimism;92.69799787398291;0.0050315;0.46640997630294506;velodrome;100xa0a082b0603542a31ae042a14157a782b77747f70fe04a55ae1e818cff66cc97
BAL;2024-01-05T09:06:26+00:00;arbitrum one;0.019559194881327988;3.704;0.07244725784043886;aura-finance;421610x237b20b33f21cfbb0a48e590d22e151f31fd2c8dec1040ed39ff61ab02c2f56b
AURA;2024-01-05T09:06:26+00:00;arbitrum one;0.021324754319540482;0.71297843127;0.01520408988196413;aura-finance;421610x237b20b33f21cfbb0a48e590d22e151f31fd2c8dec1040ed39ff61ab02c2f56b
ARB;2024-01-05T09:06:26+00:00;arbitrum one;0.09907570415879036;1.735;0.17189634671550127;aura-finance;421610x237b20b33f21cfbb0a48e590d22e151f31fd2c8dec1040ed39ff61ab02c2f56b
AURA;2024-01-05T09:06:26+00:00;arbitrum one;0.08049883806600949;0.71297843127;0.05739393528336121;aura-finance;421610x237b20b33f21cfbb0a48e590d22e151f31fd2c8dec1040ed39ff61ab02c2f56b
BAL;2024-01-21T15:05:35+00:00;arbitrum one;0.011514234675196465;3.7;0.04260266829822692;aura-finance;421610xc0a74570faf3bf78cc1e9d1f81c290b416e6f1ce6f401078b40b25acf740c067
AURA;2024-01-21T15:05:35+00:00;arbitrum one;0.013966392334800678;0.666349426324;0.009306497520110342;aura-finance;421610xc0a74570faf3bf78cc1e9d1f81c290b416e6f1ce6f401078b40b25acf740c067
AURA;2024-01-21T15:05:35+00:00;arbitrum one;0.014568006242145682;0.666349426324;0.009707382602138227;aura-finance;421610xc0a74570faf3bf78cc1e9d1f81c290b416e6f1ce6f401078b40b25acf740c067
ARB;2024-01-21T15:05:35+00:00;arbitrum one;0.39831831518910177;1.726;0.6874974120163896;aura-finance;421610xc0a74570faf3bf78cc1e9d1f81c290b416e6f1ce6f401078b40b25acf740c067
AERO;2024-01-21T21:52:29+00:00;base;20.25446388856169;0.03957383506488;0.8015468132535084;aerodrome;84530xa1f6043ffb4648b0a5392e97b13fac4e492960158e045ae74fb4d029756582d4
VELO;2024-01-21T21:54:49+00:00;optimism;115.50916196497188;0.0046575;0.5379839218518565;velodrome;100x937eb06048fb43625aee756b30b4f701d8519b2c06ec349a41c1ff64579f3829
VELO;2024-01-21T21:54:57+00:00;optimism;47.897559148411084;0.0046575;0.22308288173372462;velodrome;100x4b1dbab2da3e9dbf9efaab86ce5df6d2fa37edf6a955766f2c47ebc20aebdd12
BAL;2024-02-02T12:11:17+00:00;arbitrum one;0.1577587248255011;3.3135;0.5227335347092978;aura-finance;421610x821e7f8614def3cbf32928dec6eac59539f553b64e9034030d71f5abc2f17817
AURA;2024-02-02T12:11:17+00:00;arbitrum one;0.21422565195281315;0.619825271247;0.13278247282971783;aura-finance;421610x821e7f8614def3cbf32928dec6eac59539f553b64e9034030d71f5abc2f17817
AURA;2024-02-02T12:11:17+00:00;arbitrum one;0.1432503860176139;0.619825271247;0.088790209369605;aura-finance;421610x821e7f8614def3cbf32928dec6eac59539f553b64e9034030d71f5abc2f17817
ARB;2024-02-02T12:11:17+00:00;arbitrum one;2.0196515815220395;1.652;3.3364644126744087;aura-finance;421610x821e7f8614def3cbf32928dec6eac59539f553b64e9034030d71f5abc2f17817
BAL;2024-02-14T10:28:00+00:00;gnosis;0.017545877991911974;3.698;0.06488465681409047;aura-finance;1000xaf9d256d5099bcf7857224e0bd88fd21b882e2cd645cb7f479c9aae865df5d6d
AURA;2024-02-14T10:28:00+00:00;gnosis;0.021948570088054502;0.6492;0.014249011701164983;aura-finance;1000xaf9d256d5099bcf7857224e0bd88fd21b882e2cd645cb7f479c9aae865df5d6d
AURA;2024-02-14T10:28:00+00:00;gnosis;0.029650400255723092;0.6492;0.019249039846015434;aura-finance;1000xaf9d256d5099bcf7857224e0bd88fd21b882e2cd645cb7f479c9aae865df5d6d
BAL;2024-02-20T11:51:10+00:00;gnosis;0.8030089870967734;3.895;3.1277200047419322;aura-finance;1000x93a43e2fc304e9856442b15965f63a7a6fd5e3e93a09e6c32dc4c6a72a9be196
AURA;2024-02-20T11:51:10+00:00;gnosis;0.8898837867512466;0.714305326412;0.6356487287640958;aura-finance;1000x93a43e2fc304e9856442b15965f63a7a6fd5e3e93a09e6c32dc4c6a72a9be196
AURA;2024-02-20T11:51:10+00:00;gnosis;1.0492305083491509;0.714305326412;0.749470940747769;aura-finance;1000x93a43e2fc304e9856442b15965f63a7a6fd5e3e93a09e6c32dc4c6a72a9be196
BAL;2024-02-23T11:21:05+00:00;gnosis;0.038810653786527476;3.9195;0.15211835751629443;aura-finance;1000x9ce38568ceffddeb25552de73ff055fb7dbd822114a64e8cc756afa2c9285cdb
AURA;2024-02-23T11:21:05+00:00;gnosis;0.05279816858768623;0.68646734884;0.03624421881399634;aura-finance;1000x9ce38568ceffddeb25552de73ff055fb7dbd822114a64e8cc756afa2c9285cdb
AURA;2024-02-23T11:21:05+00:00;gnosis;0.035465129539898936;0.68646734884;0.024345653451521593;aura-finance;1000x9ce38568ceffddeb25552de73ff055fb7dbd822114a64e8cc756afa2c9285cdb
GNO;2024-02-23T11:21:50+00:00;gnosis;0.008956322635160628;287.67;2.576465332456658;curve;1000x9f31300042a35f0b665703da0a74009f50aaa7982c1e214ef8f37bf829150b89
wstETH;2024-02-23T11:21:50+00:00;gnosis;0.003259201454916457;1734.89834205933;5.6543832005719175;curve;1000x9f31300042a35f0b665703da0a74009f50aaa7982c1e214ef8f37bf829150b89
BAL;2024-02-24T10:37:00+00:00;gnosis;0.004992363094743974;4.285;0.02139227586097793;aura-finance;1000x89a826dcfd5cbba0ae3f095f02aa295bf8bae79720c2fee7b1d56a78bbe11c7b
AURA;2024-02-24T10:37:00+00:00;gnosis;0.006665699988362834;0.728044028188;0.004852923070220383;aura-finance;1000x89a826dcfd5cbba0ae3f095f02aa295bf8bae79720c2fee7b1d56a78bbe11c7b
AURA;2024-02-24T10:37:00+00:00;gnosis;0.009047529242185267;0.728044028188;0.0065869996346292845;aura-finance;1000x89a826dcfd5cbba0ae3f095f02aa295bf8bae79720c2fee7b1d56a78bbe11c7b
wstETH;2024-02-25T17:10:35+00:00;gnosis;0.002472163763000201;1733.49240713259;4.28547711234918;curve;1000x5fc8c00c96da927636090feea89b8eeab9a33ddc2a7123ede08af05a01682af3
wstETH;2024-02-27T18:17:05+00:00;gnosis;0.000107001735479942;1730.796054978485;0.185198181644535;curve;1000x5f09cd7fd38344d5747c1aeb9594a218330e0c15bdbc4132a8638649a234dfbb
wstETH;2024-03-03T18:29:05+00:00;gnosis;0.000370018257019245;1731.726770751635;0.6407705213470857;curve;1000x4c7a0dd8029fac79a4069ee9a0591ccf072377a17eee5917e33a088b811ff598
wstETH;2024-03-03T18:29:40+00:00;gnosis;0.000486374556796764;1731.726770751635;0.8422678406174178;curve;1000x03dc1e2ec14bcc9a42d74e364112f5bc0e769728df5228643ffa37e4ef4536e8
wstETH;2024-03-03T18:30:05+00:00;gnosis;0.000094426895189592;1732.891339428435;0.16363154888316053;curve;1000x4f0069c866909feec6a91f4ef19f7baa971a72dca8f20be2629581ca8faaca58
AERO;2024-03-07T15:27:55+00:00;base;18.191100215867515;0.376308169880564;6.845459630347037;aerodrome;84530x25e37f14f2f29096a2391baa8490fa68eddd70ebff47f9fd45cc620e19ea32f4
wstETH;2024-03-07T15:32:35+00:00;gnosis;0.000327202856146209;1718.106952242845;0.5621695019385172;curve;1000xc7aa85386ef8a294842f3149bcb658688003a29251288920aeb894f4e0b5d997
wstETH;2024-03-08T11:44:40+00:00;gnosis;0.00007182872928651;1718.204625744765;0.12341645492144995;curve;1000x2101437f3219dc1dc265dba5ff3775f76d9dcecf4fd61301c17d551807f7b9f3
wstETH;2024-03-13T08:53:45+00:00;gnosis;0.000411747019358348;1718.864861051055;0.7077374832175729;curve;1000x307bc72a47afa206c87ad8ae6178f24b44430185a2f6acc0e958d1c00012cbc2
wstETH;2024-03-13T08:54:05+00:00;gnosis;0.000500309606623865;1718.864861051055;0.8599646024720377;curve;1000xfbc68489538d78cbd2775ff4681e42b0f7db5449eaba9357f5b544403d420a78
AERO;2024-03-14T06:21:35+00:00;base;37.78401084939192;0.64919809927878;24.529308026554038;aerodrome;84530x64082a8544320018d67f0fb718d92c61e598859afc7ccf87423a81d2f39d8b92
VELO;2024-03-14T06:26:41+00:00;optimism;31.950881360177096;0.0057875;0.18491572587202493;velodrome;100x050d4b4a61f2551260efc833a6cea91e6109692d8e51500883b30d3746be7452
VELO;2024-03-14T06:26:53+00:00;optimism;5.673476421714872;0.0057875;0.03283524479067482;velodrome;100x65abf4b4d851fa41d50810c9dbcfbb1281a1b3a7a97e835237231bf1959c4c9e
BAL;2024-03-14T15:31:45+00:00;arbitrum one;2.0120296350167237;5.254;10.571203702377865;aura-finance;421610xae3d9aafd459dcc6480ef5a1330deb48a8520e9c56bd314752b05c26f4001d04
AURA;2024-03-14T15:31:45+00:00;arbitrum one;2.4126407625677495;0.839440320834;2.025267935787058;aura-finance;421610xae3d9aafd459dcc6480ef5a1330deb48a8520e9c56bd314752b05c26f4001d04
ARB;2024-03-14T15:31:45+00:00;arbitrum one;1.7701219764985707;1.839;3.2552543147808715;aura-finance;421610xae3d9aafd459dcc6480ef5a1330deb48a8520e9c56bd314752b05c26f4001d04
AURA;2024-03-14T15:31:45+00:00;arbitrum one;3.270406130654695;0.839440320834;2.7453107715742577;aura-finance;421610xae3d9aafd459dcc6480ef5a1330deb48a8520e9c56bd314752b05c26f4001d04
crvUSD;2024-03-14T17:29:14+00:00;arbitrum one;0.1462482643031658;0.88825;0.12990502076728702;curve;421610x9d00d020b732c281269e89b01143cc5fef61254ff01cd5d5fdc0cf75c91ccc79
ARB;2024-03-14T17:29:14+00:00;arbitrum one;9.460676633185933;1.845;17.454948388228047;curve;421610x9d00d020b732c281269e89b01143cc5fef61254ff01cd5d5fdc0cf75c91ccc79
wstETH;2024-03-16T11:01:40+00:00;gnosis;0.000257876118945355;1724.7825604321;0.4447802327088622;curve;1000x48b97a6d76930dded8f534936b28e666be6b58adb733b435caf45125d1eb779f
wstETH;2024-03-17T17:38:10+00:00;gnosis;0.000105831293000446;1724.18712773766;0.18247295310320172;curve;1000xe3ba8271affbec61b208b09f01ea906a9336977de6d0506ed119736b7416b43c
wstETH;2024-03-17T17:41:30+00:00;gnosis;0.000224546080603585;1724.18712773766;0.3871594617606443;curve;1000xb2de7d59fc3cf53ad099e340d111d6b44acef68f0b58230f3789a32f3f13cf79
VELO;2024-03-17T17:44:07+00:00;optimism;611.6981284350436;0.0052625;3.219061400889417;velodrome;100xacf998aa3d75a494519f6795f7baaff819b29ac7ff516f54ad25b81e70c6a3e6
BAL;2024-03-18T07:54:40+00:00;gnosis;0.01795447636430207;4.77;0.08564285225772088;aura-finance;1000x9319a6869c5f6574b60ccee65897df1f72b6d38b4260baed2aa80f49d38ffd93
AURA;2024-03-18T07:54:40+00:00;gnosis;0.0248547626095518;0.751828137629;0.018686509883950233;aura-finance;1000x9319a6869c5f6574b60ccee65897df1f72b6d38b4260baed2aa80f49d38ffd93
AURA;2024-03-18T07:54:40+00:00;gnosis;0.027381183115493955;0.751828137629;0.02058594390780044;aura-finance;1000x9319a6869c5f6574b60ccee65897df1f72b6d38b4260baed2aa80f49d38ffd93
BAL;2024-03-19T11:52:50+00:00;arbitrum one;0.2629173988690299;4.25;1.117398945193377;aura-finance;421610x406733a5bf8ee61f633d5f2ef4f242cc45b5b551054b69f308631ee4362817d9
AURA;2024-03-19T11:52:50+00:00;arbitrum one;0.2948590419310682;0.675448926984;0.1991622234838703;aura-finance;421610x406733a5bf8ee61f633d5f2ef4f242cc45b5b551054b69f308631ee4362817d9
ARB;2024-03-19T11:52:50+00:00;arbitrum one;0.2488470257042114;1.449;0.36057934024540234;aura-finance;421610x406733a5bf8ee61f633d5f2ef4f242cc45b5b551054b69f308631ee4362817d9
AURA;2024-03-19T11:52:50+00:00;arbitrum one;0.3394439776826026;0.675448926984;0.22927707049689475;aura-finance;421610x406733a5bf8ee61f633d5f2ef4f242cc45b5b551054b69f308631ee4362817d9
wstETH;2024-03-19T16:11:05+00:00;gnosis;0.000100142232722691;1729.592041233605;0.17320520870852985;curve;1000xb3f1787d730049871ec0218e95d365eb420342aa381b934d4b47710377fa353f
wstETH;2024-03-19T16:39:20+00:00;gnosis;0.000686684886004642;1729.2173130868;1.1874273935142625;curve;1000xda465746d9725f1cf0e28140979418db89def091c6abaac1c78dc1f0e75e6756
BAL;2024-03-19T17:58:10+00:00;gnosis;0.2991972283959744;4.3505;1.3016575421366865;aura-finance;1000x55ec630c0c8ae9a107569aa762b51de9d1fc0b0489da95db2e4b688f64b14c53
AURA;2024-03-19T17:58:10+00:00;gnosis;0.3907188695510604;0.729;0.28483405590272304;aura-finance;1000x55ec630c0c8ae9a107569aa762b51de9d1fc0b0489da95db2e4b688f64b14c53
AURA;2024-03-19T17:58:10+00:00;gnosis;0.2972865408400203;0.729;0.21672188827237482;aura-finance;1000x55ec630c0c8ae9a107569aa762b51de9d1fc0b0489da95db2e4b688f64b14c53
wstETH;2024-03-20T05:27:25+00:00;gnosis;0.000208503956158651;1728.529841900175;0.36040531037447404;curve;1000x6cb89ccaf6c787103e777ca24bee05d7a74eaff51691c9b49189b408f411c306
wstETH;2024-03-20T05:30:00+00:00;gnosis;0.000306531050951207;1728.529841900175;0.5298480690381844;curve;1000x46f4544ca675778cd707317a3136651fe1576843438eb2ecb38607c202643bb7
ARB;2024-03-20T09:18:35+00:00;arbitrum one;1.010785942372212;1.5255;1.5419539550888097;curve;421610xd910f2249357c7ba1014d408ca89ab61cd004a1adc9c393e8ab6b8b581055f2d
ARB;2024-03-20T21:50:22+00:00;arbitrum one;0.07016772083561418;1.609;0.11289986282450322;curve;421610xfb16f362bb2d9fdacffc869f247f50bde27dc52746f8e9d44f28fdb0eb83aa40
crvUSD;2024-03-20T21:51:07+00:00;arbitrum one;0.07734108115106036;0.8997;0.06958377071160901;curve;421610x42d01d795823aab91346b990f3b0a9b96fac4b30aedadf794c5e3cb843a70373
ARB;2024-03-20T21:51:07+00:00;arbitrum one;5.53269224353516;1.609;8.902101819848072;curve;421610x42d01d795823aab91346b990f3b0a9b96fac4b30aedadf794c5e3cb843a70373
ARB;2024-03-24T15:57:49+00:00;arbitrum one;0.3331220822180281;1.521;0.5066786870536207;curve;421610xfdab13519095337c8a349a45ba4fb8e92b25e110b7e55ef082ca298b5ad1028f
ARB;2024-03-24T15:58:06+00:00;arbitrum one;0.03464009582644041;1.521;0.05268758575201587;curve;421610xcb611871d8de8fe8fc4e19f0b811e3c074d80ac7fd451df2fa7d66c739218716
