activo;fecha;lugar;cantidad;precio al momento de adquisicion;valor;identificador
ETH;2024-01-04T00:23:30+00:00;kraken;0.0000350553;2044.23023728;0.07166110423692158;STS6AES-NZZDS-ZY3ZT5
ETH;2024-01-07T06:22:45+00:00;kraken;7.2962e-6;2059.66;0.015027691292;STTW77B-TYPKS-TL5QYI
ETH;2024-01-11T00:39:35+00:00;kraken;0.0000345359;2355.54;0.081350693886;STKI3OY-XEO5A-JY2GCI
ETH;2024-01-14T06:06:14+00:00;kraken;9.8039e-6;2339.74;0.022938576986;ST5IMLM-D6BV2-C7ZGGX
ETH;2024-01-18T00:13:17+00:00;kraken;0.0000348029;2326.2033452;0.08095862240266108;STGZYC3-NIZBR-BZHRBQ
ETH;2024-01-21T21:16:44+00:00;kraken;0.0000194866;2271.92;0.044271996272;STMX6E6-MKNZF-DNR433
ETH;2024-01-24T22:30:47+00:00;kraken;0.0000350772;2051.375;0.07195649115;STST4XU-5XCKJ-7Z2USO
ETH;2024-01-28T04:56:28+00:00;kraken;0.0000103513;2114.455;0.0218873580415;ST2FHNO-WZPLK-XKYI6B
ETH;2024-01-31T23:03:34+00:00;kraken;0.0000354123;2113.265;0.0748355741595;STB22MU-RTRBD-LJUISU
ETH;2024-02-04T04:58:36+00:00;kraken;7.0991e-6;2129.58;0.015118101378;STXM76D-O2ROP-AN247W
ETH;2024-02-07T23:05:13+00:00;kraken;0.0000345564;2254.345;0.077902047558;STFSLCU-5BK4Q-CHCKD6
ETH;2024-02-11T05:05:09+00:00;kraken;8.8946e-6;2320.12;0.020636539352;STICND7-EQBR2-OUMDXT
ETH;2024-02-14T23:13:19+00:00;kraken;0.00003426;2588.035;0.0886660791;STDOD4L-AIVNA-7GUQ5I
ETH;2024-02-18T05:09:43+00:00;kraken;0.0000147169;2600.62;0.038273064478;STMGU4T-AGWLZ-NYZVZS
ETH;2024-02-21T23:15:57+00:00;kraken;0.0000341;2744.43;0.093585063;STPALNO-A4VX4-IGDCAU
ETH;2024-02-25T05:02:40+00:00;kraken;8.862e-6;2797.055;0.02478750141;STLWNF2-BDAWL-LD2652
